"onset_date","nr","value"
"2011-09-15",7,0
"2011-09-22",14,0
"2011-09-29",21,0
"2011-10-06",28,0
"2011-10-13",35,0
"2011-10-20",42,0
"2011-10-27",49,0
"2011-11-03",56,0
"2011-11-10",63,1
"2011-11-11",64,0
"2011-11-12",65,0
"2011-11-13",66,0
"2011-11-14",67,0
"2011-11-15",68,0
"2011-11-16",69,0
"2011-11-17",70,0
"2011-11-18",71,0
"2011-11-19",72,0
"2011-11-20",73,0
"2011-11-21",74,0
"2011-11-22",75,0
"2011-11-23",76,0
"2011-11-24",77,0
"2011-11-25",78,0
"2011-11-26",79,0
"2011-11-27",80,1
"2011-11-28",81,3
"2011-11-29",82,1
"2011-11-30",83,1
"2011-12-01",84,8
"2011-12-02",85,4
"2011-12-03",86,8
"2011-12-04",87,11
"2011-12-05",88,7
"2011-12-06",89,15
"2011-12-07",90,19
"2011-12-08",91,12
"2011-12-09",92,14
"2011-12-10",93,10
"2011-12-11",94,14
"2011-12-12",95,10
"2011-12-13",96,8
"2011-12-14",97,2
"2011-12-15",98,1
"2011-12-16",99,1
"2011-12-17",100,0
"2011-12-18",101,1
"2011-12-19",102,1
"2011-12-20",103,2
"2011-12-27",110,0
"2012-01-03",117,0
"2012-01-10",124,0
"2012-01-17",131,0
"2012-01-24",138,0
"2012-01-31",145,0
"2012-02-07",152,0
"2012-02-14",159,0
