"onset_date","nr","value"
"2011-07-07",7,0
"2011-07-14",14,0
"2011-07-21",21,0
"2011-07-28",28,0
"2011-08-04",35,0
"2011-08-11",42,0
"2011-08-18",49,0
"2011-08-25",56,0
"2011-09-01",63,1
"2011-09-02",64,2
"2011-09-03",65,0
"2011-09-04",66,0
"2011-09-05",67,0
"2011-09-06",68,0
"2011-09-07",69,0
"2011-09-08",70,0
"2011-09-09",71,1
"2011-09-10",72,0
"2011-09-11",73,0
"2011-09-12",74,0
"2011-09-13",75,0
"2011-09-14",76,0
"2011-09-15",77,1
"2011-09-16",78,2
"2011-09-17",79,0
"2011-09-18",80,0
"2011-09-19",81,1
"2011-09-20",82,0
"2011-09-21",83,0
"2011-09-22",84,2
"2011-09-23",85,1
"2011-09-24",86,4
"2011-09-25",87,2
"2011-09-26",88,3
"2011-09-27",89,2
"2011-09-28",90,2
"2011-09-29",91,4
"2011-09-30",92,1
"2011-10-01",93,3
"2011-10-02",94,3
"2011-10-03",95,4
"2011-10-04",96,3
"2011-10-05",97,3
"2011-10-06",98,9
"2011-10-07",99,1
"2011-10-08",100,1
"2011-10-09",101,7
"2011-10-10",102,5
"2011-10-11",103,4
"2011-10-12",104,1
"2011-10-13",105,2
"2011-10-14",106,4
"2011-10-15",107,7
"2011-10-16",108,3
"2011-10-17",109,6
"2011-10-18",110,6
"2011-10-19",111,4
"2011-10-20",112,8
"2011-10-21",113,6
"2011-10-22",114,7
"2011-10-23",115,2
"2011-10-24",116,6
"2011-10-25",117,7
"2011-10-26",118,5
"2011-10-27",119,7
"2011-10-28",120,9
"2011-10-29",121,10
"2011-10-30",122,14
"2011-10-31",123,9
"2011-11-01",124,4
"2011-11-02",125,5
"2011-11-03",126,7
"2011-11-04",127,10
"2011-11-05",128,11
"2011-11-06",129,17
"2011-11-07",130,6
"2011-11-08",131,13
"2011-11-09",132,13
"2011-11-10",133,14
"2011-11-11",134,13
"2011-11-12",135,12
"2011-11-13",136,12
"2011-11-14",137,15
"2011-11-15",138,16
"2011-11-16",139,12
"2011-11-17",140,14
"2011-11-18",141,11
"2011-11-19",142,17
"2011-11-20",143,10
"2011-11-21",144,10
"2011-11-22",145,16
"2011-11-23",146,12
"2011-11-24",147,17
"2011-11-25",148,29
"2011-11-26",149,21
"2011-11-27",150,21
"2011-11-28",151,25
"2011-11-29",152,17
"2011-11-30",153,12
"2011-12-01",154,18
"2011-12-02",155,11
"2011-12-03",156,12
"2011-12-04",157,10
"2011-12-05",158,18
"2011-12-06",159,8
"2011-12-07",160,14
"2011-12-08",161,10
"2011-12-09",162,15
"2011-12-10",163,16
"2011-12-11",164,8
"2011-12-12",165,7
"2011-12-13",166,5
"2011-12-14",167,7
"2011-12-15",168,5
"2011-12-16",169,5
"2011-12-17",170,6
"2011-12-18",171,11
"2011-12-19",172,10
"2011-12-20",173,5
"2011-12-21",174,4
"2011-12-22",175,9
"2011-12-23",176,6
"2011-12-24",177,1
"2011-12-25",178,6
"2011-12-26",179,3
"2011-12-27",180,6
"2011-12-28",181,4
"2011-12-29",182,3
"2011-12-30",183,5
"2011-12-31",184,1
"2012-01-01",185,8
"2012-01-02",186,2
"2012-01-03",187,9
"2012-01-04",188,4
"2012-01-05",189,5
"2012-01-06",190,4
"2012-01-07",191,3
"2012-01-08",192,3
"2012-01-09",193,4
"2012-01-10",194,4
"2012-01-11",195,3
"2012-01-12",196,3
"2012-01-13",197,4
"2012-01-14",198,5
"2012-01-15",199,2
"2012-01-16",200,5
"2012-01-17",201,4
"2012-01-18",202,2
"2012-01-19",203,6
"2012-01-20",204,4
"2012-01-21",205,2
"2012-01-22",206,0
"2012-01-23",207,4
"2012-01-24",208,2
"2012-01-25",209,1
"2012-01-26",210,1
"2012-01-27",211,1
"2012-01-28",212,2
"2012-01-29",213,3
"2012-01-30",214,3
"2012-01-31",215,3
"2012-02-01",216,0
"2012-02-02",217,3
"2012-02-03",218,2
"2012-02-04",219,1
"2012-02-05",220,0
"2012-02-06",221,1
"2012-02-07",222,0
"2012-02-08",223,0
"2012-02-09",224,1
"2012-02-10",225,2
"2012-02-11",226,2
"2012-02-12",227,1
"2012-02-13",228,0
"2012-02-14",229,1
"2012-02-15",230,1
"2012-02-16",231,1
"2012-02-23",238,0
"2012-03-01",245,0
"2012-03-08",252,0
"2012-03-15",259,0
"2012-03-22",266,0
"2012-03-29",273,0
"2012-04-05",280,0
"2012-04-12",287,0
