"date","perak","negeri_sembilan","selangor","singapore"
"1997-01-04",0,0,0,0
"1997-01-11",1,0,0,0
"1997-01-18",0,0,0,0
"1997-01-25",1,0,0,0
"1997-02-01",1,0,0,0
"1997-02-08",0,0,0,0
"1997-02-15",1,0,0,0
"1997-02-22",1,0,0,0
"1997-03-01",0,0,0,0
"1997-03-08",0,0,0,0
"1997-03-15",0,0,0,0
"1997-03-22",0,0,0,0
"1997-03-29",0,0,0,0
"1997-04-05",0,0,0,0
"1997-04-12",0,0,0,0
"1997-04-19",0,0,0,0
"1997-04-26",0,0,0,0
"1997-05-03",0,0,0,0
"1997-05-10",0,0,0,0
"1997-05-17",0,0,0,0
"1997-05-25",0,0,0,0
"1997-06-01",0,0,0,0
"1997-06-08",0,0,0,0
"1997-07-05",1,0,0,0
"1997-08-16",1,0,0,0
"1998-05-16",2,0,0,0
"1998-10-03",1,0,0,0
"1998-10-24",1,0,0,0
"1998-11-07",4,0,0,0
"1998-11-14",1,0,0,0
"1998-11-21",1,0,0,0
"1998-11-28",2,0,0,0
"1998-12-05",1,0,0,0
"1998-12-26",3,2,0,0
"1999-01-02",4,5,0,0
"1999-01-09",2,0,0,0
"1999-01-16",1,0,0,0
"1999-01-23",1,0,0,0
"1999-01-30",1,0,0,0
"1999-02-06",2,0,0,0
"1999-02-13",1,1,0,0
"1999-02-20",0,4,0,0
"1999-02-27",0,16,0,0
"1999-03-06",0,26,0,0
"1999-03-13",0,49,0,0
"1999-03-20",0,44,0,0
"1999-03-27",0,45,2,11
"1999-04-03",1,9,3,0
"1999-04-10",0,4,0,0
