"","obj$cluster"
"d81c17","A"
"064974","A"
"3b712b","A"
"486c07","A"
"6f5824","A"
"c77a84","A"
"1f4d22","A"
"f951d8","A"
"44060b","A"
"905296","A"
"b4e5d5","A"
"0fffca","B"
"78e5ba","B"
"e45c54","B"
"ca432a","B"
"0b6e5a","B"
"ef7028","B"
"732379","B"
"82b4fc","B"
"9199be","B"
"cede47","B"
"9f5aad","C"
"acf7bb","C"
"24876f","C"
"37aad9","C"
"1e7431","C"
"0b57e4","C"
"09f4a0","C"
"a6fcaf","C"
"f59e4b","C"
"1b55d2","C"
"7d3df0","C"
"b08945","A"
"f80b2e","A"
"efee6b","A"
"6e0643","A"
"252679","A"
"35a9b6","A"
"80afad","A"
"1569a5","A"
"161814","A"
"c09e12","A"
"38881f","A"
