"date","cases"
"2015-10-19",1
"2015-10-22",2
"2015-10-23",1
"2015-10-24",4
"2015-10-25",2
"2015-10-26",5
"2015-10-27",2
"2015-10-28",4
"2015-10-29",5
"2015-10-30",4
"2015-10-31",6
"2015-11-01",8
"2015-11-02",11
"2015-11-03",11
"2015-11-04",22
"2015-11-05",31
"2015-11-06",32
"2015-11-07",40
"2015-11-08",42
"2015-11-09",54
"2015-11-10",56
"2015-11-11",31
"2015-11-12",26
"2015-11-13",19
"2015-11-14",34
"2015-11-15",43
"2015-11-16",44
"2015-11-17",57
"2015-11-18",47
"2015-11-19",51
"2015-11-20",48
"2015-11-21",47
"2015-11-22",38
"2015-11-23",57
"2015-11-24",47
"2015-11-25",38
"2015-11-26",48
"2015-11-27",26
"2015-11-28",38
"2015-11-29",43
"2015-11-30",40
"2015-12-01",59
"2015-12-02",38
"2015-12-03",33
"2015-12-04",33
"2015-12-05",44
"2015-12-06",35
"2015-12-07",34
"2015-12-08",31
"2015-12-09",23
"2015-12-10",21
"2015-12-11",12
"2015-12-12",12
"2015-12-13",12
"2015-12-14",10
"2015-12-15",15
"2015-12-16",9
"2015-12-17",8
"2015-12-18",7
"2015-12-19",21
"2015-12-20",15
"2015-12-21",2
"2015-12-22",11
"2015-12-23",9
"2015-12-24",14
"2015-12-25",4
"2015-12-26",7
"2015-12-27",15
"2015-12-28",14
"2015-12-29",13
"2015-12-30",6
"2015-12-31",12
"2016-01-01",49
"2016-01-02",22
"2016-01-03",9
"2016-01-04",6
"2016-01-05",8
"2016-01-07",5
"2016-01-08",12
"2016-01-09",5
"2016-01-10",10
"2016-01-11",8
"2016-01-12",11
"2016-01-13",15
"2016-01-14",5
"2016-01-15",9
"2016-01-16",6
"2016-01-17",3
"2016-01-18",3
"2016-01-19",2
"2016-01-20",2
"2016-01-21",1
"2016-01-22",1
