"date","cases"
"2015-09-06",1
"2015-09-07",1
"2015-09-08",1
"2015-09-13",1
"2015-09-15",4
"2015-09-19",1
"2015-09-20",1
"2015-09-23",1
"2015-09-24",1
"2015-09-26",1
"2015-09-28",2
"2015-09-29",1
"2015-09-30",2
"2015-10-01",6
"2015-10-02",5
"2015-10-03",3
"2015-10-04",3
"2015-10-05",6
"2015-10-06",9
"2015-10-07",7
"2015-10-08",10
"2015-10-09",5
"2015-10-10",19
"2015-10-11",10
"2015-10-12",17
"2015-10-13",15
"2015-10-14",17
"2015-10-15",21
"2015-10-16",14
"2015-10-17",12
"2015-10-18",14
"2015-10-19",20
"2015-10-20",10
"2015-10-21",4
"2015-10-22",7
"2015-10-23",5
"2015-10-24",5
"2015-10-25",14
"2015-10-26",8
"2015-10-27",10
"2015-10-28",21
"2015-10-29",3
"2015-10-30",13
"2015-10-31",5
"2015-11-01",28
"2015-11-02",29
"2015-11-03",17
"2015-11-04",13
"2015-11-05",28
"2015-11-06",19
"2015-11-07",36
"2015-11-08",20
"2015-11-09",31
"2015-11-10",25
"2015-11-11",21
"2015-11-12",26
"2015-11-13",29
"2015-11-14",24
"2015-11-15",26
"2015-11-16",12
"2015-11-17",14
"2015-11-18",9
"2015-11-19",3
"2015-11-20",12
"2015-11-21",5
"2015-11-22",10
"2015-11-23",18
"2015-11-24",12
"2015-11-25",9
"2015-11-26",13
"2015-11-27",3
"2015-11-28",6
"2015-11-29",5
"2015-11-30",11
"2015-12-01",1
"2015-12-02",3
"2015-12-03",7
"2015-12-04",1
"2015-12-05",6
"2015-12-06",8
"2015-12-07",3
"2015-12-08",4
"2015-12-09",4
"2015-12-10",6
"2015-12-11",4
"2015-12-12",6
"2015-12-13",4
"2015-12-14",1
"2015-12-15",4
"2015-12-16",2
"2015-12-17",1
"2015-12-18",1
"2015-12-19",1
"2015-12-20",3
"2015-12-23",1
"2015-12-26",2
"2015-12-29",1
"2016-01-20",1
"2016-01-21",1
"2016-01-29",1
"2016-01-30",1
