"onset_date","nr","value"
"2007-02-18",7,0
"2007-02-25",14,0
"2007-03-04",21,0
"2007-03-11",28,0
"2007-03-18",35,0
"2007-03-25",42,0
"2007-04-01",49,0
"2007-04-08",56,0
"2007-04-15",63,1
"2007-04-22",70,2
"2007-04-29",77,0
"2007-05-06",84,1
"2007-05-13",91,1
"2007-05-20",98,9
"2007-05-27",105,29
"2007-06-03",112,15
"2007-06-10",119,9
"2007-06-17",126,15
"2007-06-24",133,19
"2007-07-01",140,6
"2007-07-08",147,1
"2007-07-15",154,0
"2007-07-22",161,0
"2007-07-29",168,0
"2007-08-05",175,0
"2007-08-12",182,0
"2007-08-19",189,0
"2007-08-26",196,0
"2007-09-02",203,0
